point,Px,Py,Pz,Building_ID,FloorIndex,orientx,orienty,orientz,orientw,original_size,scalex,scaley,scalez
0,-1193.449462890625,0.0,-1163.8394775390625,21.0,0,0.0,0.7620961666107178,0.0,0.647463858127594,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
1,-431.5316162109375,0.0,-1164.17041015625,21.0,0,0.0,0.9967441558837891,0.0,-0.08062904328107834,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
2,-430.80987548828125,0.0,-3067.39013671875,21.0,0,0.0,0.7618955969810486,0.0,0.6476998329162598,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
3,1787.0931396484375,0.0,-3066.98388671875,21.0,0,0.0,0.08083043992519379,0.0,0.9967278838157654,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
4,1787.09033203125,0.0,3292.3232421875,21.0,0,0.0,-0.6477623581886292,-0.0,0.7618424892425537,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
5,-410.4881896972656,0.0,3291.671875,21.0,0,0.0,0.9967350363731384,0.0,-0.08074247092008591,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
6,-410.05596923828125,0.0,609.97021484375,21.0,0,0.0,-0.6475216150283813,-0.0,0.7620470523834229,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
7,-1129.1253662109375,0.0,610.1644287109375,21.0,0,0.0,0.08036434650421143,0.0,0.9967655539512634,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
8,-1129.3939208984375,0.0,915.6181640625,21.0,0,0.0,-0.6475841999053955,-0.0,0.7619938850402832,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
9,-2088.517822265625,0.0,915.8258666992188,21.0,0,0.0,0.9967319369316101,0.0,-0.0807802826166153,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
10,-2088.422607421875,0.0,-1446.1910400390625,21.0,0,0.0,0.7619448304176331,0.0,0.6476420164108276,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
11,-1193.5679931640625,0.0,-1446.1964111328125,21.0,0,0.0,0.08101947605609894,0.0,0.9967125058174133,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
12,-1193.449462890625,0.0,-1163.8394775390625,21.0,0,0.0,0.08101947605609894,0.0,0.9967125058174133,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
13,-431.5316162109375,0.0,-1164.17041015625,21.0,0,0.0,0.7620961666107178,0.0,0.647463858127594,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
14,-430.80987548828125,0.0,-3067.39013671875,21.0,0,0.0,0.9967441558837891,0.0,-0.08062904328107834,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
15,1787.0931396484375,0.0,-3066.98388671875,21.0,0,0.0,0.7618955969810486,0.0,0.6476998329162598,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
16,1787.09033203125,0.0,3292.3232421875,21.0,0,0.0,0.08083043992519379,0.0,0.9967278838157654,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
17,-410.4881896972656,0.0,3291.671875,21.0,0,0.0,-0.6477623581886292,-0.0,0.7618424892425537,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
18,-410.05596923828125,0.0,609.97021484375,21.0,0,0.0,0.9967350363731384,0.0,-0.08074247092008591,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
19,-1129.1253662109375,0.0,610.1644287109375,21.0,0,0.0,-0.6475216150283813,-0.0,0.7620470523834229,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
20,-1129.3939208984375,0.0,915.6181640625,21.0,0,0.0,0.08036434650421143,0.0,0.9967655539512634,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
21,-2088.517822265625,0.0,915.8258666992188,21.0,0,0.0,-0.6475841999053955,-0.0,0.7619938850402832,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
22,-2088.422607421875,0.0,-1446.1910400390625,21.0,0,0.0,0.9967319369316101,0.0,-0.0807802826166153,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
23,-1193.5679931640625,0.0,-1446.1964111328125,21.0,0,0.0,0.7619448304176331,0.0,0.6476420164108276,0.949999988079071,0.9924999475479126,0.9924999475479126,0.9924999475479126
24,-1102.6051025390625,0.0,-1163.8787841796875,21.0,0,0.0,0.7620738744735718,0.0,0.6474900841712952,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
25,-812.4915771484375,0.0,-1164.0081787109375,21.0,0,0.0,0.7620738744735718,0.0,0.6474900841712952,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
26,-1153.749267578125,0.0,-1163.8592529296875,21.0,0,0.0,0.7620738744735718,0.0,0.6474900841712952,0.949999988079071,1.0,3.9699997901916504,0.5114340782165527
27,-522.3758544921875,0.0,-1164.1312255859375,21.0,0,0.0,0.7620738744735718,0.0,0.6474900841712952,0.949999988079071,1.0,3.9699997901916504,0.5114340782165527
28,-431.5010070800781,0.0,-1245.439208984375,21.0,0,0.0,0.9967448711395264,0.0,-0.08062084019184113,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
29,-431.3906555175781,0.0,-1535.544677734375,21.0,0,0.0,0.9967448711395264,0.0,-0.08062084019184113,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
30,-431.280517578125,0.0,-1825.6685791015625,21.0,0,0.0,0.9967448711395264,0.0,-0.08062084019184113,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
31,-431.1722717285156,0.0,-2115.780517578125,21.0,0,0.0,0.9967448711395264,0.0,-0.08062084019184113,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
32,-431.06103515625,0.0,-2405.89208984375,21.0,0,0.0,0.9967448711395264,0.0,-0.08062084019184113,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
33,-430.9486999511719,0.0,-2696.009521484375,21.0,0,0.0,0.9967448711395264,0.0,-0.08062084019184113,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
34,-431.5172119140625,0.0,-1203.87109375,21.0,0,0.0,0.9967448711395264,0.0,-0.08062084019184113,0.949999988079071,1.0,3.9699997901916504,0.415630578994751
35,-430.8405456542969,0.0,-2986.121337890625,21.0,0,0.0,0.9967448711395264,0.0,-0.08062084019184113,0.949999988079071,1.0,3.9699997901916504,0.415630578994751
36,-337.26220703125,0.0,-3067.377685546875,21.0,0,0.0,0.7618755102157593,0.0,0.6477234363555908,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
37,-47.14794158935547,0.0,-3067.321533203125,21.0,0,0.0,0.7618755102157593,0.0,0.6477234363555908,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
38,242.97027587890625,0.0,-3067.271240234375,21.0,0,0.0,0.7618755102157593,0.0,0.6477234363555908,0.949999988079071,3.0538461208343506,3.0538461208343506,3.0538461208343506
